Attorney,Wikidata ID,Img_url
Louis V. Franklin,Q30508807,https://upload.wikimedia.org/wikipedia/commons/6/6b/Louis_V._Franklin_official_photo.jpg
Jay Town,Q32178229,https://upload.wikimedia.org/wikipedia/commons/b/b2/Jay_Town_official_portrait.jpg
Richard W. Moore,Q32171993,https://upload.wikimedia.org/wikipedia/commons/3/35/Richard_W._Moore_official_portrait.jpg
Bryan Schroder,Q38831261,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Bryan_Schroder_official_portrait.jpg/220px-Bryan_Schroder_official_portrait.jpg
Michael G. Bailey,Q61750281,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Michael_Bailey-2019.jpg/220px-Michael_Bailey-2019.jpg
J. Cody Hiland,Q39439933,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/J._Cody_Hiland_official_photo.jpg/220px-J._Cody_Hiland_official_photo.jpg
Duane Kees,Q45916875,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Duane_Kees_official_photo.jpg/220px-Duane_Kees_official_photo.jpg
Nicola T. Hanna,Q48926431,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Nicola_T._Hanna_official_photo.jpg/220px-Nicola_T._Hanna_official_photo.jpg
McGregor W. Scott,Q47457151,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/McGregor_W._Scott_official_photo.jpg/220px-McGregor_W._Scott_official_photo.jpg
David L. Anderson,Q16146008,NOT FOUND
Robert S. Brewer Jr.,Q55238022,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/RobertSBrewer.jpg/220px-RobertSBrewer.jpg
Jason R. Dunn,Q55238023,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/USA_Jason_Dunn_CO.jpg/220px-USA_Jason_Dunn_CO.jpg
John Durham,Q6230524,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/John_H._Durham.jpg/220px-John_H._Durham.jpg
David C. Weiss,Q45915219,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Davidweiss.jpg/220px-Davidweiss.jpg
Jessie K. Liu,Q32059635,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Jessie_K._Liu_official_photo.jpg/220px-Jessie_K._Liu_official_photo.jpg
Maria Chapa Lopez,Q53062078,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Maria_Chapa_Lopez_official_photo.jpg/220px-Maria_Chapa_Lopez_official_photo.jpg
Larry Keefe,Q56284262,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Lawrence_A._Keefe.jpg/220px-Lawrence_A._Keefe.jpg
Ariana Fajardo Orshan,Q54951622,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Ariana_Fajardo_Orshan_official_portrait.jpg/220px-Ariana_Fajardo_Orshan_official_portrait.jpg
Charles Peeler,Q38864225,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Charles_E._Peeler.jpg/220px-Charles_E._Peeler.jpg
B.J. Pak,Q28840361,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/BJ_Pak_official_photo.jpg/220px-BJ_Pak_official_photo.jpg
Bobby Christine,Q42308027,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Bobby_Christine.jpg/220px-Bobby_Christine.jpg
Kenji M. Price,Q48927544,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Kenji_M_Price.jpg/220px-Kenji_M_Price.jpg
Bart Davis,Q4865059,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/2017.11.10_USA_Davis_Photo_Blue_Suit.jpg/220px-2017.11.10_USA_Davis_Photo_Blue_Suit.jpg
John C. Milhiser,Q56284266,https://upload.wikimedia.org/wikipedia/commons/d/d6/John_C_Milhiser.jpg
John R. Lausch Jr.,Q44532195,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Lausch_john_official.jpg/220px-Lausch_john_official.jpg
Thomas Kirsch,Q41593180,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Thomas_L._Kirsch_II.jpg/220px-Thomas_L._Kirsch_II.jpg
Joshua Minkler,Q39515420,https://upload.wikimedia.org/wikipedia/commons/d/db/Josh_Minkler_Official_Photo.jpg
Peter Deegan,Q40222043,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Peter_E._Deegan_Jr_official_photo.jpg/220px-Peter_E._Deegan_Jr_official_photo.jpg
Marc Krickbaum,Q40234869,https://upload.wikimedia.org/wikipedia/commons/c/c2/Marc_Krickbaum_official_photo.jpg
Stephen McAllister,Q48791963,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Stephen_R._McAllister_official_photo.jpg/220px-Stephen_R._McAllister_official_photo.jpg
Robert M. Duncan Jr.,Q42422254,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Robert_M._Duncan_Jr.jpg/220px-Robert_M._Duncan_Jr.jpg
Russell Coleman,Q40338033,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Russell_Coleman_official_photo.jpg/220px-Russell_Coleman_official_photo.jpg
Brandon Fremin,Q48673968,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Brandon_Fremin_official_photo.jpg/220px-Brandon_Fremin_official_photo.jpg
David C. Joseph,Q48926975,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/David_C._Joseph_official_photo.jpg/220px-David_C._Joseph_official_photo.jpg
Peter G. Strasser,Q55238029,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/P.G.Strasser.jpg/220px-P.G.Strasser.jpg
Halsey Frank,Q39064553,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Halsey_Frank_official_photo.png/220px-Halsey_Frank_official_photo.png
Robert K. Hur,Q48675953,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Robert_Hur_Official_Photo.jpg/220px-Robert_Hur_Official_Photo.jpg
Andrew Lelling,Q42310535,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Andrew_E._Lelling.jpg/220px-Andrew_E._Lelling.jpg
Matthew J. Schneider,Q55238025,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Matthew_schneider.jpg/220px-Matthew_schneider.jpg
Thomas L. Leonard III,Q16221406,NOT FOUND
Erica MacDonald,Q51741273,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Erica_H._MacDonald_portrait.jpg/220px-Erica_H._MacDonald_portrait.jpg
Jeffrey Jensen,Q39505579,https://upload.wikimedia.org/wikipedia/commons/4/42/Jeffrey_Jensen_official_photo.jpg
Timothy A. Garrison,Q48926405,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Garrison.timothy.jpg/220px-Garrison.timothy.jpg
Kurt Alme,Q40342099,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Kurt_G._Alme_official_photo.jpg/220px-Kurt_G._Alme_official_photo.jpg
Joseph P. Kelly,Q48977188,https://upload.wikimedia.org/wikipedia/commons/4/40/Joseph_P_Kelly.jpg
Nicholas A. Trutanich,Q55584805,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Trutanich_Nicholas.jpg/220px-Trutanich_Nicholas.jpg
Scott W. Murray,Q45914636,https://upload.wikimedia.org/wikipedia/commons/5/5f/Scott_murray_photo.jpg
John C. Anderson,Q48743453,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/John_C._Anderson_official_photo.jpg/220px-John_C._Anderson_official_photo.jpg
Robert Higdon Jr.,Q41536729,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Robert_Higdon_Jr._official_photo.jpg/220px-Robert_Higdon_Jr._official_photo.jpg
Matthew Martin,Q43380464,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Matthew_Martin.jpg/220px-Matthew_Martin.jpg
R. Andrew Murray,Q42319382,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/R._Andrew_Murray_official_photo.jpg/220px-R._Andrew_Murray_official_photo.jpg
Drew Wrigley,Q5307301,https://upload.wikimedia.org/wikipedia/commons/5/57/Drew_Wrigley_-_official_U.S._Attorney_portrait.jpg
Justin Herdman,Q30519351,https://upload.wikimedia.org/wikipedia/commons/8/81/Justin_Herdman_official_photo.jpg
David M. DeVillers,Q66448890,NOT FOUND
Brian Kuester,Q32034550,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Brian_Kuester_official_photo.jpg/220px-Brian_Kuester_official_photo.jpg
R. Trent Shores,Q40460795,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/R._Trent_Shores_official_photo.jpg/220px-R._Trent_Shores_official_photo.jpg
Timothy J. Downing,Q61941673,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Timothy_Downing.jpg/220px-Timothy_Downing.jpg
Billy J. Williams,Q48471887,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Billy_J._Williams_official_photo.jpg/220px-Billy_J._Williams_official_photo.jpg
David Freed,Q5233835,https://upload.wikimedia.org/wikipedia/commons/7/71/Davidjfreed.png
Scott Brady,Q48740794,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Scott_Brady_official_photo.jpg/220px-Scott_Brady_official_photo.jpg
William M. McSwain,Q48688244,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/William_M._McSwain.jpg/220px-William_M._McSwain.jpg
W. Stephen Muldrow,Q64747678,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/William_Stephen_Muldrow_official_portrait.jpg/220px-William_Stephen_Muldrow_official_portrait.jpg
Aaron L. Weisman,Q58008030,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Aaron_Weisman_RI_2.jpg/220px-Aaron_Weisman_RI_2.jpg
Sherri Lydon,Q51858469,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Sherri_A._Lydon_official_photo.jpg/220px-Sherri_A._Lydon_official_photo.jpg
Peter M. McCoy Jr.,Q87001091,NOT FOUND
Ron A. Parsons Jr.,Q33633456,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Ron_A._Parsons_Jr._Official_Portrait.png/220px-Ron_A._Parsons_Jr._Official_Portrait.png
Doug Overbey,Q5300793,https://upload.wikimedia.org/wikipedia/commons/4/4e/J._Douglas_Overbey_official_photo.jpg
Donald Q. Cochran,Q38946601,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/Donald_Q._Cochran_official_photo.jpg/220px-Donald_Q._Cochran_official_photo.jpg
D. Michael Dunavant,Q30453230,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/D._Michael_Dunavant_official_photo.jpg/220px-D._Michael_Dunavant_official_photo.jpg
Joseph D. Brown,Q47499109,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Joseph_D._Brown_official_photo.jpg/220px-Joseph_D._Brown_official_photo.jpg
Erin Nealy Cox,Q45713701,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Erin_Nealy_Cox.jpg/220px-Erin_Nealy_Cox.jpg
Ryan Patrick,Q46303027,https://upload.wikimedia.org/wikipedia/commons/a/af/Ryan_Patrick_%28cropped%29.jpg
John Bash,Q42331379,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/John_F._Bash.jpg/220px-John_F._Bash.jpg
John W. Huber,Q30529752,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/John_W._Huber_official_photo.jpg/220px-John_W._Huber_official_photo.jpg
Christina E. Nolan,Q45714460,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Christina_E._Nolan_official_photo_%28cropped%29.jpg/220px-Christina_E._Nolan_official_photo_%28cropped%29.jpg
G. Zachary Terwilliger,Q55584793,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/G._Zachary_Terwilliger_official_photo.jpg/220px-G._Zachary_Terwilliger_official_photo.jpg
Thomas T. Cullen,Q48926392,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Thomas_T._Cullen_official_photo.jpg/220px-Thomas_T._Cullen_official_photo.jpg
William D. Hyslop,Q63700125,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Hyslop-Official-Photo.jpg/220px-Hyslop-Official-Photo.jpg
Brian T. Moran,Q53063726,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Brian_T._Moran_-_Official_portrait.png/220px-Brian_T._Moran_-_Official_portrait.png
William Powell,Q43381318,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/William_J._Powell_official_photo.jpg/220px-William_J._Powell_official_photo.jpg
Michael B. Stuart,Q42346740,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Michael_B._Stuart.jpg/220px-Michael_B._Stuart.jpg
Matthew Krueger,Q47484556,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Matt_Krueger_official_photo.jpg/220px-Matt_Krueger_official_photo.jpg
Scott Blader,Q42353365,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Scott_Blader_official_photo.jpg/220px-Scott_Blader_official_photo.jpg
Mark Klassen,Q42351529,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Mark_A._Klaassen.jpg/220px-Mark_A._Klaassen.jpg
