"","senate_appt","item_label","federalist_society","heritage_foundation"
"1",1,"William Barr",NA,1
"2",1,"Jeff Sessions",1,1
"3",1,"Jeffrey A. Rosen",NA,NA
"4",1,"Rod J. Rosenstein",1,1
"5",1,"Noel Francisco",1,1
"6",1,"Makan Delrahim",1,NA
"7",1,"Joseph A. Hunt",NA,NA
"8",1,"Eric Dreiband",1,NA
"9",1,"Brian Benczkowski",1,NA
"10",1,"Jeffrey Bossert Clark",1,1
"11",1,"John Demers",NA,NA
"12",1,"Beth Ann Williams",1,1
"13",1,"Stephen Boyd",1,NA
"14",1,"Rachel L. Brand",1,NA
"15",1,"Steven A. Engel",1,NA
