Id,person,url,position_current,Position,Body,"Political Connection",Relationship,size
7,"Beth Ann Williams",https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Beth_Ann_Williams_official_photo.jpg/220px-Beth_Ann_Williams_official_photo.jpg,,"Assistant Attorney General for the Office of Legal Policy","Trump Administration","Pat Cipollone (White House Legal Counsel)","Alumni (Kirkland & Ellis - DC Office)",0
11,"Brian Allen Benczkowski",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Brian_Benczkowski_official_photo.jpg/220px-Brian_Benczkowski_official_photo.jpg,,"Assistant Attorney General for the Criminal Division","Trump Administration","Pat Cipollone (White House Legal Counsel)","Alumni (Kirkland & Ellis - DC Office)",0
18,"Craig Carpenito",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Craig_Carpenito.jpg/220px-Craig_Carpenito.jpg,,"U.S. Attorney for the District of New Jersey","Trump Administration","Chris Christie (Governor of New Jersey - Former)",Counsel,0
29,"Duane Kees",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Duane_Kees_official_photo.jpg/220px-Duane_Kees_official_photo.jpg,,"U.S. Attorney for the W.D. of Arkansas","State Government","Asa Hutchinson (Governor of Arkansas)","Colleague (Asa Hutchinson Law Group)",0
30,"Eric S. Dreiband",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Eric_S._Dreiband_official_photo.jpg/220px-Eric_S._Dreiband_official_photo.jpg,,"Assistant Attorney General for the Civil Rights Division","Trump Administration","Don McGahn (White House Legal Counsel - Former)","Colleague (Jones Day - DC Office)",0
33,"G. Zachary Terwilliger",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/G._Zachary_Terwilliger_official_photo.jpg/220px-G._Zachary_Terwilliger_official_photo.jpg,,"U.S. Attorney for the E.D. of Virginia","U.S. Senate","Chuck Grassley (Chairman of the Senate Judiciary Committee)",Counsel,0
38,"J. Cody Hiland",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/J._Cody_Hiland_official_photo.jpg/220px-J._Cody_Hiland_official_photo.jpg,,"U.S. Attorney for the E.D. of Arkansas","State Government","Mike Huckabee (Governor of Arkansas - Former )","Legislative Aide",0
41,"Jay Town",https://upload.wikimedia.org/wikipedia/commons/b/b2/Jay_Town_official_portrait.jpg,,"U.S. Attorney for the N.D. of Alabama","U.S. Senate","Richard Shelby (Senator)","Campaign Aide",0
43,"Jeffrey A. Rosen",https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Jeff_Rosen_official_DOJ_portrait.jpg/220px-Jeff_Rosen_official_DOJ_portrait.jpg,,"Deputy Attorney General","Trump Administration","Pat Cipollone (White House Legal Counsel)","Alumni (Kirkland & Ellis - DC Office)",0
44,"Jeffrey Bossert Clark",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Jeffrey_Bossert_Clark_official_photo.jpg/220px-Jeffrey_Bossert_Clark_official_photo.jpg,,"Assistant Attorney General for the Environment and Natural Resources Division","Trump Administration","Pat Cipollone (White House Legal Counsel)","Alumni (Kirkland & Ellis - DC Office)",0
47,"John Bash",https://upload.wikimedia.org/wikipedia/commons/5/5c/John_Bash.jpg,,"U.S. Attorney for the W.D. of Texas","Trump Administration","Himself (White House Legal Counsel)",,0
76,"Noel Francisco",https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Noel_Francisco_official_photo.jpg/220px-Noel_Francisco_official_photo.jpg,,"Principal Deputy Solicitor General","Trump Administration","Don McGahn (White House Legal Counsel - Former)","Colleague (Jones Day - DC Office)",0
86,"Robert K. Hur",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Robert_Hur_Official_Photo.jpg/220px-Robert_Hur_Official_Photo.jpg,,"U.S. Attorney for the District of Maryland","Trump Administration","Christopher Wray ( Director of the FBI)","Special Assistant / Counsel",0
87,"Robert M. Duncan Jr.",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Robert_M._Duncan_Jr.jpg/220px-Robert_M._Duncan_Jr.jpg,,"U.S. Attorney for the E.D. of Kentucky","Republication National Committee","Mike Duncan (Chairman - Former)",Son,0
91,"Russell Coleman",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Russell_Coleman_official_photo.jpg/220px-Russell_Coleman_official_photo.jpg,,"U.S. Attorney for the W.D. of Kentucky","U.S. Senate","Mitch McConnell (Majority Leader)",Counsel,0
92,"Ryan Patrick",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/US_Attorney_Ryan_Patrick.jpg/220px-US_Attorney_Ryan_Patrick.jpg,,"U.S. Attorney for the S.D. of Texas","State Government","Dan Patrick (Lieutenant Governor of Texas)",Son,0
98,"Stephen Boyd",https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Stephen_E._Boyd_official_photo_2.jpg/220px-Stephen_E._Boyd_official_photo_2.jpg,,"Assistant Attorney General for Legislative Affairs","Trump Administration","Jeff Sessions (Attorney General - Former)","Communications Director",0
103,"Thomas T. Cullen",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Thomas_T._Cullen_official_photo.jpg/220px-Thomas_T._Cullen_official_photo.jpg,,"U.S. Attorney for the W.D. of Virginia","Trump Administration","Mike Pence (Vice President)","Son (Personal Lawyer)",0
503,"Political Allies",https://img.washingtonpost.com/rf/image_606w/2010-2019/WashingtonPost/2016/11/19/National-Politics/Images/Botsford161119Trump86831479584651.jpg,,,,,,18
