Source,Target,Type,Id,Label,timeset,Weight
3,502,Directed,0,,,1
4,502,Directed,1,,,1
4,506,Directed,2,,,1
6,502,Directed,3,,,1
6,506,Directed,4,,,1
7,502,Directed,5,,,1
7,503,Directed,6,,,1
9,502,Directed,7,,,1
9,506,Directed,8,,,1
12,506,Directed,9,,,1
15,506,Directed,10,,,1
15,507,Directed,11,,,1
17,506,Directed,12,,,1
18,507,Directed,13,,,1
19,506,Directed,14,,,1
20,507,Directed,15,,,1
21,506,Directed,16,,,1
22,506,Directed,17,,,1
23,506,Directed,18,,,1
25,506,Directed,19,,,1
26,502,Directed,20,,,1
27,506,Directed,21,,,1
28,504,Directed,22,,,1
29,500,Directed,23,,,1
29,502,Directed,24,,,1
29,504,Directed,25,,,1
29,506,Directed,26,,,1
30,507,Directed,27,,,1
32,502,Directed,28,,,1
32,506,Directed,29,,,1
33,502,Directed,30,,,1
33,506,Directed,31,,,1
34,502,Directed,32,,,1
35,506,Directed,33,,,1
36,506,Directed,34,,,1
38,506,Directed,35,,,1
39,506,Directed,36,,,1
41,507,Directed,37,,,1
44,502,Directed,38,,,1
44,503,Directed,39,,,1
46,502,Directed,40,,,1
46,503,Directed,41,,,1
47,502,Directed,42,,,1
54,504,Directed,43,,,1
54,506,Directed,44,,,1
55,507,Directed,45,,,1
56,506,Directed,46,,,1
58,502,Directed,47,,,1
58,507,Directed,48,,,1
59,502,Directed,49,,,1
61,506,Directed,50,,,1
63,502,Directed,51,,,1
63,507,Directed,52,,,1
65,506,Directed,53,,,1
67,502,Directed,54,,,1
67,507,Directed,55,,,1
68,502,Directed,56,,,1
69,506,Directed,57,,,1
70,502,Directed,58,,,1
73,506,Directed,59,,,1
76,502,Directed,60,,,1
76,503,Directed,61,,,1
76,507,Directed,62,,,1
77,506,Directed,63,,,1
78,506,Directed,64,,,1
79,504,Directed,65,,,1
79,506,Directed,66,,,1
80,506,Directed,67,,,1
81,502,Directed,68,,,1
81,506,Directed,69,,,1
82,502,Directed,70,,,1
84,506,Directed,71,,,1
85,506,Directed,72,,,1
85,507,Directed,73,,,1
86,507,Directed,74,,,1
87,502,Directed,75,,,1
87,506,Directed,76,,,1
88,502,Directed,77,,,1
88,506,Directed,78,,,1
88,507,Directed,79,,,1
89,502,Directed,80,,,1
89,503,Directed,81,,,1
89,507,Directed,82,,,1
90,506,Directed,83,,,1
91,506,Directed,84,,,1
92,501,Directed,85,,,1
92,502,Directed,86,,,1
92,506,Directed,87,,,1
94,506,Directed,88,,,1
94,507,Directed,89,,,1
95,506,Directed,90,,,1
97,506,Directed,91,,,1
98,506,Directed,92,,,1
99,502,Directed,93,,,1
99,506,Directed,94,,,1
100,502,Directed,95,,,1
103,502,Directed,96,,,1
103,505,Directed,97,,,1
103,506,Directed,98,,,1
104,502,Directed,99,,,1
104,505,Directed,100,,,1
104,506,Directed,101,,,1
105,502,Directed,102,,,1
105,506,Directed,103,,,1
107,506,Directed,104,,,1
108,506,Directed,105,,,1
109,502,Directed,106,,,1
